tree,wave,weighted,mean_branch,nBranches
93,Wave 2,261.13729032048457,576.0567914859031,240
93,Wave 3,328.2576047674747,501.30091918107115,223
94,whole epidemic,259.9485368585675,594.9624703048572,566
94,Wave 1,166.44234522762582,623.3524776106825,130
94,Wave 2,265.3428862598743,617.7243486161651,243
94,Wave 3,323.68822132818445,503.0773528712447,222
95,whole epidemic,271.2295890255321,653.5704582586037,566
95,Wave 1,180.88927145539952,575.3403708351756,130
95,Wave 2,273.5025895386526,676.8820348591186,241
95,Wave 3,333.30714012688543,607.8313587720952,223
96,whole epidemic,260.3167388318122,519.9197524043879,566
96,Wave 1,166.51572656865255,381.02243018477117,130
96,Wave 2,264.3352458357442,552.6282519789239,245
96,Wave 3,322.2273214757253,512.2356228859448,221
97,whole epidemic,257.9478388881864,548.3929755383423,566
97,Wave 1,165.8503060428487,415.3934899776154,132
97,Wave 2,249.20913101652195,583.3252244720243,242
97,Wave 3,337.0985487683613,531.5961739724228,222
98,whole epidemic,260.03691759715355,670.7725828087065,566
98,Wave 1,166.70671027903546,880.5034067682711,134
98,Wave 2,260.8733672881015,541.1143237188761,241
98,Wave 3,328.05012008842897,611.4572032783567,222
99,whole epidemic,268.174549221613,611.93975093644,566
99,Wave 1,177.97722480778503,712.3098959896827,132
99,Wave 2,262.0834487326332,553.920178575331,248
99,Wave 3,345.13553877419827,559.6388061682857,219
100,whole epidemic,254.94077676745295,532.4964338611069,566
100,Wave 1,179.35996901844695,520.1321535797099,132
100,Wave 2,256.86951545936637,488.6085358165441,252
100,Wave 3,304.7712964136768,530.1694663880915,217
