wave,n_trees,branches_min,branches_max,velocity_median,velocity_hpd_lo,velocity_hpd_hi,velocity_equal_n_lo,velocity_equal_n_hi,diffusion_median,diffusion_hpd_lo,diffusion_hpd_hi,diffusion_equal_n_lo,diffusion_equal_n_hi
Wave 1 (2016-2020),100,128,134,164.4281034757975,143.253346629816,185.703544877903,143.253346629816,185.703544877902,8636.354508030436,7019.00931616734,10681.4502671422,7019.00931616734,10681.4502671421
Wave 2 (2021-2023),100,236,255,273.202343177593,248.750926099518,290.566258126801,220.652124480608,326.068419914713,18846.3914432397,15960.6355327574,20824.7350281492,12190.0088834413,25851.2765271304
Wave 3 (2024-2025),100,216,225,317.86348103587704,288.959222867679,344.689155853551,268.465778766456,374.678025739361,21330.39658197,18057.9154289204,23802.4493051393,15442.0189029349,27009.4174955491
