node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
285,286,0.256342828140413,6.06299930311527,5.38558309836878,5.84391447436481,6.11325665161673,0.256342828140413,0,2016.24284424318,2016.49918707132,11170000
285,557,1.12656639543083,6.06299930311527,5.38558309836878,5.423332522575,6.45231433653187,1.12656639543083,0,2016.24284424318,2017.36941063861,11170000
286,288,0.013349265077446,5.84391447436481,6.11325665161673,5.82907470686346,6.11196532050547,0.269692093217859,0.256342828140413,2016.49918707132,2016.51253633639,11170000
286,287,1.10299583857327,5.84391447436481,6.11325665161673,4.56558034513506,6.99903250308679,1.35933866671368,0.256342828140413,2016.49918707132,2017.60218290989,11170000
287,1,0.258234306648556,4.56558034513506,6.99903250308679,5.45796723181152,7.44811189965996,1.61757297336224,1.35933866671368,2017.60218290989,2017.86041721654,11170000
287,2,0.234392432576225,4.56558034513506,6.99903250308679,4.76673211390952,7.02678261049026,1.5937310992899,1.35933866671368,2017.60218290989,2017.83657534247,11170000
288,289,0.016607318263004,5.82907470686346,6.11196532050547,5.83652350299327,6.15746084932794,0.286299411480863,0.269692093217859,2016.51253633639,2016.52914365466,11170000
288,549,1.58048911049636,5.82907470686346,6.11196532050547,5.82706398428229,6.41890226527295,1.85018120371422,0.269692093217859,2016.51253633639,2018.09302544689,11170000
289,299,0.0887714134330313,5.83652350299327,6.15746084932794,5.71846518629307,5.89062743258748,0.375070824913895,0.286299411480863,2016.52914365466,2016.61791506809,11170000
289,290,0.0929826188146041,5.83652350299327,6.15746084932794,6.05343386239446,6.91765297183749,0.379282030295467,0.286299411480863,2016.52914365466,2016.62212627347,11170000
290,297,0.866703552179453,6.05343386239446,6.91765297183749,5.98840325290841,7.46345473285713,1.24598558247492,0.379282030295467,2016.62212627347,2017.48882982565,11170000
290,291,0.716251091513353,6.05343386239446,6.91765297183749,6.5878310310091,3.3147151628573,1.09553312180882,0.379282030295467,2016.62212627347,2017.33837736498,11170000
291,9,0.698022411082351,6.5878310310091,3.3147151628573,6.62235437174772,3.33741590844611,1.79355553289117,1.09553312180882,2017.33837736498,2018.03639977607,11170000
291,292,0.482385983853969,6.5878310310091,3.3147151628573,6.61966412422305,3.36860329548953,1.57791910566279,1.09553312180882,2017.33837736498,2017.82076334884,11170000
292,293,0.0543351453519518,6.61966412422305,3.36860329548953,7.13957035522942,3.71941423706319,1.63225425101474,1.57791910566279,2017.82076334884,2017.87509849419,11170000
292,8,0.305078676532216,6.61966412422305,3.36860329548953,6.6323225974668,3.35242011328389,1.88299778219501,1.57791910566279,2017.82076334884,2018.12584202537,11170000
293,3,0.17326351354648,7.13957035522942,3.71941423706319,7.4160719856393,3.25861511053355,1.80551776456122,1.63225425101474,2017.87509849419,2018.04836200774,11170000
293,294,0.0889363090423876,7.13957035522942,3.71941423706319,7.35434834087835,3.88626128836465,1.72119056005713,1.63225425101474,2017.87509849419,2017.96403480323,11170000
294,295,0.0441517573788275,7.35434834087835,3.88626128836465,7.36044590413163,3.85218392494602,1.76534231743596,1.72119056005713,2017.96403480323,2018.00818656061,11170000
294,7,0.0504128397790273,7.35434834087835,3.88626128836465,7.3611389782399,3.9510629986232,1.77160339983616,1.72119056005713,2017.96403480323,2018.01444764301,11170000
295,4,0.00120029042154712,7.36044590413163,3.85218392494602,7.37493434822402,3.91711462235055,1.7665426078575,1.76534231743596,2018.00818656061,2018.00938685103,11170000
295,296,0.5842959844014,7.36044590413163,3.85218392494602,5.03019443759633,6.53185820701997,2.34963830183736,1.76534231743596,2018.00818656061,2018.59248254501,11170000
296,6,0.0261099899909682,5.03019443759633,6.53185820701997,4.767582445205,7.05685969251339,2.37574829182832,2.34963830183736,2018.59248254501,2018.618592535,11170000
296,5,0.0276544412881305,5.03019443759633,6.53185820701997,5.0759904243591,6.40242035287521,2.37729274312549,2.34963830183736,2018.59248254501,2018.6201369863,11170000
297,10,0.492983317136126,5.98840325290841,7.46345473285713,7.68213996242136,8.53033028898356,1.73896889961105,1.24598558247492,2017.48882982565,2017.98181314279,11170000
297,298,0.265664839713283,5.98840325290841,7.46345473285713,6.27470256161956,7.47820939188974,1.5116504221882,1.24598558247492,2017.48882982565,2017.75449466536,11170000
298,12,0.0104845410671235,6.27470256161956,7.47820939188974,6.39130590222237,7.51065100550796,1.52213496325533,1.5116504221882,2017.75449466536,2017.76497920643,11170000
298,11,0.0587639465310774,6.27470256161956,7.47820939188974,6.38213856188375,7.52522630650438,1.57041436871928,1.5116504221882,2017.75449466536,2017.8132586119,11170000
299,300,0.0670204316514482,5.71846518629307,5.89062743258748,5.17711231651695,5.8455236223255,0.442091256565343,0.375070824913895,2016.61791506809,2016.68493549974,11170000
299,327,2.45185862581391,5.71846518629307,5.89062743258748,5.46976897014939,5.97262961152166,2.82692945072781,0.375070824913895,2016.61791506809,2019.0697736939,11170000
300,301,0.241608566819167,5.17711231651695,5.8455236223255,5.35270334493474,5.48085718512372,0.68369982338451,0.442091256565343,2016.68493549974,2016.92654406656,11170000
300,315,0.309273162267694,5.17711231651695,5.8455236223255,5.75848575115402,6.78574199163028,0.751364418833036,0.442091256565343,2016.68493549974,2016.99420866201,11170000
301,302,0.377310502198931,5.35270334493474,5.48085718512372,5.38427387003198,7.25107479757224,1.06101032558344,0.68369982338451,2016.92654406656,2017.30385456876,11170000
301,312,0.791844470697127,5.35270334493474,5.48085718512372,4.75426580095835,7.03234093163096,1.47554429408164,0.68369982338451,2016.92654406656,2017.71838853726,11170000
302,306,0.0110917842703255,5.38427387003198,7.25107479757224,5.31514170626912,7.06656821319058,1.07210210985377,1.06101032558344,2017.30385456876,2017.31494635303,11170000
302,303,0.103958929172745,5.38427387003198,7.25107479757224,5.67939862736855,7.10497255039828,1.16496925475619,1.06101032558344,2017.30385456876,2017.40781349793,11170000
303,304,0.422608151244231,5.67939862736855,7.10497255039828,5.90459505817949,7.09712026556287,1.58757740600042,1.16496925475619,2017.40781349793,2017.83042164918,11170000
303,16,0.679091207865599,5.67939862736855,7.10497255039828,6.13756348964503,6.47503996005517,1.84406046262178,1.16496925475619,2017.40781349793,2018.0869047058,11170000
304,13,0.229639900006693,5.90459505817949,7.09712026556287,7.36539951407771,3.91881342018189,1.81721730600711,1.58757740600042,2017.83042164918,2018.06006154918,11170000
304,305,0.245163034479797,5.90459505817949,7.09712026556287,5.4961830753012,7.09944447010254,1.83274044048021,1.58757740600042,2017.83042164918,2018.07558468366,11170000
305,15,0.0193596935973313,5.4961830753012,7.09944447010254,5.42185348332575,7.09014474167729,1.85210013407754,1.83274044048021,2018.07558468366,2018.09494437725,11170000
305,14,0.0610355777010865,5.4961830753012,7.09944447010254,5.46574565273585,7.07754196274343,1.8937760181813,1.83274044048021,2018.07558468366,2018.13662026136,11170000
306,17,0.638697691151616,5.31514170626912,7.06656821319058,7.68817860706757,8.53195819430401,1.71079980100538,1.07210210985377,2017.31494635303,2017.95364404418,11170000
306,307,0.00317037778458484,5.31514170626912,7.06656821319058,5.4082114974376,7.05229237389024,1.07527248763835,1.07210210985377,2017.31494635303,2017.31811673081,11170000
307,309,0.669916207621227,5.4082114974376,7.05229237389024,5.47430224893593,7.09627793462905,1.74518869525958,1.07527248763835,2017.31811673081,2017.98803293844,11170000
307,308,0.360504699976278,5.4082114974376,7.05229237389024,4.72331063293897,7.63492663705142,1.43577718761463,1.07527248763835,2017.31811673081,2017.67862143079,11170000
308,18,0.815565719280941,4.72331063293897,7.63492663705142,7.40483372913598,3.24919915557225,2.25134290689557,1.43577718761463,2017.67862143079,2018.49418715007,11170000
308,19,0.122930327198564,4.72331063293897,7.63492663705142,5.02837703942267,7.90352578185069,1.55870751481319,1.43577718761463,2017.67862143079,2017.80155175799,11170000
309,310,0.0225279388050188,5.47430224893593,7.09627793462905,5.47864521702275,7.08711327236957,1.7677166340646,1.74518869525958,2017.98803293844,2018.01056087724,11170000
309,23,0.173159044629364,5.47430224893593,7.09627793462905,5.46101576831892,7.1206913010205,1.91834773988894,1.74518869525958,2017.98803293844,2018.16119198306,11170000
310,20,0.146194686326567,5.47864521702275,7.08711327236957,5.46622862675281,7.0895920192119,1.91391132039116,1.7677166340646,2018.01056087724,2018.15675556357,11170000
310,311,0.0768158169205373,5.47864521702275,7.08711327236957,5.45982858459201,7.09068558379636,1.84453245098513,1.7677166340646,2018.01056087724,2018.08737669416,11170000
311,21,0.01339488036598,5.45982858459201,7.09068558379636,5.4476894022181,7.12144562363158,1.85792733135111,1.84453245098513,2018.08737669416,2018.10077157453,11170000
311,22,0.0309963601725745,5.45982858459201,7.09068558379636,5.45871676217223,7.08299044618359,1.87552881115771,1.84453245098513,2018.08737669416,2018.11837305433,11170000
312,313,0.0321699185811912,4.75426580095835,7.03234093163096,4.74224524415094,7.05718648086256,1.50771421266283,1.47554429408164,2017.71838853726,2017.75055845584,11170000
312,27,0.214077216167141,4.75426580095835,7.03234093163096,4.72611225608435,7.02453285364603,1.68962151024878,1.47554429408164,2017.71838853726,2017.93246575342,11170000
313,314,0.102763364633279,4.74224524415094,7.05718648086256,4.74099835458992,7.03039570303338,1.61047757729611,1.50771421266283,2017.75055845584,2017.85332182047,11170000
313,26,0.10793469484639,4.74224524415094,7.05718648086256,4.74310714649024,7.05672440404406,1.61564890750922,1.50771421266283,2017.75055845584,2017.85849315069,11170000
314,25,0.00517133021311178,4.74099835458992,7.03039570303338,4.77096234696152,7.04498835194296,1.61564890750922,1.61047757729611,2017.85332182047,2017.85849315069,11170000
314,24,0.00517133021311178,4.74099835458992,7.03039570303338,4.74891384444597,7.02633476344322,1.61564890750922,1.61047757729611,2017.85332182047,2017.85849315069,11170000
315,316,0.143104177164489,5.75848575115402,6.78574199163028,5.25749920521674,6.54191434012881,0.894468595997525,0.751364418833036,2016.99420866201,2017.13731283917,11170000
315,326,0.230609367712146,5.75848575115402,6.78574199163028,5.75111687702358,6.7750583410009,0.981973786545183,0.751364418833036,2016.99420866201,2017.22481802972,11170000
316,317,0.359886166988998,5.25749920521674,6.54191434012881,4.90391149998938,6.46888142347374,1.25435476298652,0.894468595997525,2017.13731283917,2017.49719900616,11170000
316,319,1.05627544319686,5.25749920521674,6.54191434012881,4.83069054929902,7.01505038523462,1.95074403919439,0.894468595997525,2017.13731283917,2018.19358828237,11170000
317,28,0.305468194947723,4.90391149998938,6.46888142347374,5.08924923222984,6.3822403778099,1.55982295793425,1.25435476298652,2017.49719900616,2017.80266720111,11170000
317,318,0.192898636104465,4.90391149998938,6.46888142347374,5.11995920819652,6.33285313492363,1.44725339909099,1.25435476298652,2017.49719900616,2017.69009764227,11170000
318,30,0.112596087451257,5.11995920819652,6.33285313492363,5.10166593800707,6.37156787891217,1.55984948654224,1.44725339909099,2017.69009764227,2017.80269372972,11170000
318,29,0.225929754993418,5.11995920819652,6.33285313492363,4.73325054260397,7.0180665278541,1.67318315408441,1.44725339909099,2017.69009764227,2017.91602739726,11170000
319,320,0.0086040621778185,4.83069054929902,7.01505038523462,4.75007152449349,7.04864570075168,1.95934810137221,1.95074403919439,2018.19358828237,2018.20219234455,11170000
