wave,zone,state,suspected,confirmed,pct_of_wave_suspected,pct_of_wave_confirmed,pct_positive
Wave 3 2024-2025,South East,IMO,140.0,19.0,7.44,5.96,13.6
Wave 3 2024-2025,South East,ABIA,74.0,17.0,3.93,5.33,23.0
Wave 3 2024-2025,North Central,BENUE,50.0,15.0,2.66,4.7,30.0
Wave 3 2024-2025,South South,EDO,60.0,14.0,3.19,4.39,23.3
Wave 3 2024-2025,South East,ENUGU,67.0,9.0,3.56,2.82,13.4
Wave 3 2024-2025,South East,ANAMBRA,45.0,6.0,2.39,1.88,13.3
Wave 3 2024-2025,South West,LAGOS,23.0,6.0,1.22,1.88,26.1
Wave 3 2024-2025,North West,SOKOTO,65.0,6.0,3.46,1.88,9.2
Wave 3 2024-2025,North East,ADAMAWA,43.0,4.0,2.29,1.25,9.3
Wave 3 2024-2025,South East,EBONYI,16.0,4.0,0.85,1.25,25.0
Wave 3 2024-2025,North Central,NIGER,11.0,4.0,0.58,1.25,36.4
Wave 3 2024-2025,South West,OGUN,71.0,4.0,3.77,1.25,5.6
Wave 3 2024-2025,South South,RIVERS,27.0,4.0,1.44,1.25,14.8
Wave 3 2024-2025,North East,TARABA,20.0,4.0,1.06,1.25,20.0
Wave 3 2024-2025,North Central,KWARA,16.0,3.0,0.85,0.94,18.8
Wave 3 2024-2025,North East,BAUCHI,10.0,2.0,0.53,0.63,20.0
Wave 3 2024-2025,North East,GOMBE,28.0,2.0,1.49,0.63,7.1
Wave 3 2024-2025,North West,KATSINA,13.0,2.0,0.69,0.63,15.4
Wave 3 2024-2025,North West,KEBBI,25.0,2.0,1.33,0.63,8.0
Wave 3 2024-2025,North Central,NASARAWA,19.0,2.0,1.01,0.63,10.5
Wave 3 2024-2025,North East,YOBE,7.0,2.0,0.37,0.63,28.6
Wave 3 2024-2025,North West,ZAMFARA,28.0,2.0,1.49,0.63,7.1
Wave 3 2024-2025,North East,BORNO,9.0,1.0,0.48,0.31,11.1
Wave 3 2024-2025,North West,JIGAWA,6.0,1.0,0.32,0.31,16.7
Wave 3 2024-2025,South West,OSUN,19.0,1.0,1.01,0.31,5.3
Wave 3 2024-2025,South West,EKITI,33.0,0.0,1.75,0.0,0.0
Wave 3 2024-2025,North West,KANO,4.0,0.0,0.21,0.0,0.0
Wave 3 2024-2025,North Central,KOGI,13.0,0.0,0.69,0.0,0.0
Wave 3 2024-2025,South West,ONDO,5.0,0.0,0.27,0.0,0.0
