country,A.1,A.2,A.2.2,A.2.3,A.2.4,A.3,total
Ghana,0,1,0,3,12,0,16
USA,1,1,9,1,1,1,14
United Kingdom,6,0,2,0,0,2,10
Taiwan,6,0,0,0,0,0,6
Benin,0,0,3,0,0,0,3
Italy,1,0,0,1,0,0,2
Singapore,2,0,0,0,0,0,2
India,0,2,0,0,0,0,2
Ireland,0,0,2,0,0,0,2
Togo,0,0,2,0,0,0,2
Thailand,2,0,0,0,0,0,2
Australia,0,0,0,1,0,0,1
Portugal,0,0,0,1,0,0,1
Austria,0,0,1,0,0,0,1
Israel,1,0,0,0,0,0,1
Germany,0,0,1,0,0,0,1
Egypt,0,1,0,0,0,0,1
Viet Nam,0,1,0,0,0,0,1
