time	distance
2015.76709673195	0
2015.86732576463	0.287927606352455
2015.96755479731	1.94394503816616
2016.06778382999	6.00874608507505
2016.16801286267	12.3801349897832
2016.26824189535	25.9673376291944
2016.36847092803	50.083342434525
2016.46869996071	88.8658867361661
2016.56892899339	133.936475975813
2016.66915802607	176.172568479492
2016.76938705876	226.182852348078
2016.86961609144	283.772300512351
2016.96984512412	351.184810473121
2017.0700741568	418.204379122518
2017.17030318948	471.826889732878
2017.27053222216	514.879264391714
2017.37076125484	544.156067126677
2017.47099028752	565.305376082284
2017.5712193202	585.735937630296
2017.67144835288	608.781671710405
2017.77167738556	638.477174739556
2017.87190641824	673.103846846367
2017.97213545092	721.908470050545
2018.0723644836	779.764230487752
2018.17259351628	841.815100973414
2018.27282254896	912.649098174472
2018.37305158164	984.62086049465
2018.47328061432	1049.6807928125
2018.573509647	1112.94919809626
2018.67373867968	1113.04462727438
2018.77396771236	1113.55124868777
2018.87419674505	1114.05777066888
2018.97442577773	1114.36587856505
2019.07465481041	1114.81647685061
2019.17488384309	1115.5343155879
2019.27511287577	1115.99841646927
2019.37534190845	1116.07841696223
2019.47557094113	1116.15842069924
2019.57579997381	1116.58460413009
2019.67602900649	1117.07550291542
2019.77625803917	1117.15551619745
2019.87648707185	1117.15551619745
2019.97671610453	1117.15551619745
2020.07694513721	1117.15551619745
2020.17717416989	1117.15551619745
2020.27740320257	1117.15551619745
2020.37763223525	1117.15551619745
2020.47786126793	1117.15551619745
2020.57809030061	1117.15551619745
2020.67831933329	1117.15551619745
2020.77854836597	1117.15551619745
2020.87877739866	1117.15551619745
2020.97900643134	1117.15551619745
2021.07923546402	1117.30003779017
2021.1794644967	1117.53687256523
2021.27969352938	1117.87029657688
2021.37992256206	1118.94447381732
2021.48015159474	1121.05421301069
2021.58038062742	1125.75841310272
2021.6806096601	1131.45689845527
2021.78083869278	1144.57923033467
2021.88106772546	1214.47156210924
2021.98129675814	1507.76147764283
2022.08152579082	1507.76147764283
2022.1817548235	1507.76147764283
2022.28198385618	1507.95594073553
2022.38221288886	1509.41906053185
2022.48244192154	1518.87267014149
2022.58267095422	1550.5749762868
2022.6828999869	1649.53966375422
2022.78312901958	1695.38960677771
2022.88335805227	1770.58524082379
2022.98358708495	1808.75351324876
2023.08381611763	1808.75351324876
2023.18404515031	1808.75351324876
2023.28427418299	1808.75351324876
2023.38450321567	1808.75351324876
2023.48473224835	1808.75351324876
2023.58496128103	1809.40616651669
2023.68519031371	1809.71105720162
2023.78541934639	1810.01595168355
2023.88564837907	1810.32084992262
2023.98587741175	1810.69811364462
2024.08610644443	1813.43765974772
2024.18633547711	1821.60272341415
2024.28656450979	1833.44064524999
2024.38679354247	1850.44566572431
2024.48702257515	1868.69511830651
2024.58725160783	1909.96248368769
2024.68748064051	1964.64646593218
2024.7877096732	2018.45186825897
2024.88793870588	2035.13653289096
2024.98816773856	2069.71752028105
2025.08839677124	2077.57811289511
2025.18862580392	2086.99934157798
2025.2888548366	2098.60954046233
2025.38908386928	2112.86717922931
2025.48931290196	2115.07019336001
2025.58954193464	2118.84775120529
2025.68977096732	2118.84775120529
2025.79	2118.84775120529
