time	95%HPD_lower_value	95%HPD_higher_value
2015.81721124829	24.478003077836	551.644871015115
2015.91744028097	24.4779936194852	728.53641750805
2016.01766931365	35.1417967405103	580.07154752836
2016.11789834633	59.3098987357066	475.068207630458
2016.21812737901	66.481371325139	371.117386166937
2016.31835641169	76.2927605560817	331.166205006802
2016.41858544437	86.7831388919491	292.152159677085
2016.51881447705	88.7755265516738	267.569553257626
2016.61904350973	95.4080077421929	257.669738111383
2016.71927254241	111.507332623114	243.493638813802
2016.8195015751	103.555821348573	228.098758431844
2016.91973060778	114.313080583883	206.80671900408
2017.01995964046	116.610183166169	208.713363736196
2017.12018867314	125.367982948768	206.562965348889
2017.22041770582	135.964570920216	209.376446001578
2017.3206467385	166.484829675214	232.6527365818
2017.42087577118	177.054072980447	255.938874009376
2017.52110480386	200.002233164457	285.004171303522
2017.62133383654	208.741284389308	297.688187227023
2017.72156286922	206.878768769003	283.772430475503
2017.8217919019	228.197362923385	296.697916421664
2017.92202093458	236.940072344542	307.593628492273
2018.02224996726	238.541912188167	310.889212378861
2018.12247899994	255.393803268104	331.846313551163
2018.22270803262	259.148195052341	345.829526635677
2018.3229370653	237.732105175576	339.298687665039
2018.42316609798	217.150933985726	305.661277722228
2018.52339513066	176.980774029786	256.925201173092
2018.62362416334	146.189256227906	228.75032322468
2018.72385319602	135.578458286732	217.36201574777
2018.82408222871	122.528724348003	194.01821402536
2018.92431126139	107.267768639785	177.770676741891
2019.02454029407	102.870703110396	176.166277514878
2019.12476932675	83.9622739658195	157.946214449106
2019.22499835943	86.4048799947836	167.103158753978
2019.32522739211	97.3471902231068	184.035973757533
2019.42545642479	97.7525223705393	181.022386175525
2019.52568545747	87.3258548730932	169.206295806983
2019.62591449015	81.0099455674275	165.283804059803
2019.72614352283	88.3450731833458	166.910290610101
2019.82637255551	78.2673763587336	172.821680731736
2019.92660158819	67.3366883463092	160.780556927118
2020.02683062087	59.691067039182	151.435136793248
2020.12705965355	51.8916059563005	148.490183430628
2020.22728868623	50.8932408708218	157.581597400498
2020.32751771891	46.4596959739185	149.761473824769
2020.42774675159	36.9793674294648	134.084190792572
2020.52797578427	42.575079498726	135.892546255961
2020.62820481695	39.2233190574708	137.945404268665
2020.72843384963	43.8418076564975	144.289062110903
2020.82866288232	55.3230983715898	153.458327803993
2020.928891915	59.6123549925225	178.681696675392
2021.02912094768	78.1070588064449	225.865897058917
2021.12934998036	101.391511206756	242.876324491629
2021.22957901304	114.062689513307	245.890915294868
2021.32980804572	146.744869581155	260.212244098155
2021.4300370784	187.854743601813	273.981181139861
2021.53026611108	214.812196991839	293.024417064631
2021.63049514376	206.847234123033	278.308527880093
2021.73072417644	221.0134529551	288.931669362665
2021.83095320912	229.85804548073	299.817131885258
2021.9311822418	241.959059386296	303.65573719674
2022.03141127448	266.57128260701	329.641065081486
2022.13164030716	293.044173511009	365.237989154095
2022.23186933984	319.082529359563	386.935684814366
2022.33209837252	287.981141629787	354.889018616513
2022.4323274052	302.788816837765	362.815814335338
2022.53255643788	299.54509389678	354.512820089079
2022.63278547056	309.790241374785	361.007272375911
2022.73301450324	314.677300975289	371.084038777609
2022.83324353593	318.073137417782	376.608811836106
2022.93347256861	326.013701484919	386.260064196569
2023.03370160129	320.671753497097	394.206048101645
2023.13393063397	298.616511444559	376.635484004399
2023.23415966665	210.697018139436	312.451454046515
2023.33438869933	183.097781069006	285.235368988444
2023.43461773201	170.929038382314	262.210670073789
2023.53484676469	168.741801841907	262.707855930184
2023.63507579737	166.124275971293	266.892223180498
2023.73530483005	187.624169341786	288.740352346415
2023.83553386273	197.027204471234	293.687270823381
2023.93576289541	228.331957379304	317.564233419459
2024.03599192809	251.286613617888	324.617102600585
2024.13622096077	269.387601897164	338.073927196994
2024.23644999345	279.965929980069	344.616188683012
2024.33667902613	297.605619755442	359.080691677617
2024.43690805881	301.816367124606	363.907598427528
2024.53713709149	304.653641176751	367.907457509476
2024.63736612417	300.326755296679	364.697497867666
2024.73759515685	299.888848564153	365.921359963285
2024.83782418954	297.566471482502	367.98295065392
2024.93805322222	299.704880620053	365.598594995807
2025.0382822549	298.38578594881	369.12167902093
2025.13851128758	290.089634837944	360.276282118406
2025.23874032026	289.778347450431	352.202821537617
2025.33896935294	275.09688130384	345.894517806045
2025.43919838562	262.53090546105	347.640071551913
2025.5394274183	237.282511008618	329.653614716232
2025.63965645098	208.984505432157	316.961880604748
2025.73988548366	182.72898601989	284.332391519806
