"tree","wave","velocity","diffusion","nBranches"
68,"Wave 2 (2021-2023)",273.221553416647,17866.4882138729,255
69,"Wave 2 (2021-2023)",267.570740074024,20413.0803503785,243
70,"Wave 2 (2021-2023)",278.033786414328,19333.5516859159,242
71,"Wave 2 (2021-2023)",270.433689809838,17958.938827552,250
72,"Wave 2 (2021-2023)",269.097431473555,16475.1269466781,248
73,"Wave 2 (2021-2023)",275.490166414708,16810.0898635977,253
74,"Wave 2 (2021-2023)",272.391101101564,17337.0606753709,249
75,"Wave 2 (2021-2023)",286.804534856076,18798.3518398773,236
76,"Wave 2 (2021-2023)",298.708198349855,19212.8002318258,239
77,"Wave 2 (2021-2023)",275.234206503522,17878.8078096622,243
78,"Wave 2 (2021-2023)",289.830493848189,20199.4187326274,245
79,"Wave 2 (2021-2023)",290.566258126801,20248.0974041678,245
80,"Wave 2 (2021-2023)",289.253185557568,19853.6722776071,247
81,"Wave 2 (2021-2023)",273.183132938539,18172.5182132298,242
82,"Wave 2 (2021-2023)",283.937883405457,19243.9253805611,244
83,"Wave 2 (2021-2023)",294.125907696497,21418.9589755459,243
84,"Wave 2 (2021-2023)",268.657156706784,17966.636299778,254
85,"Wave 2 (2021-2023)",271.976913562582,18751.4240138415,238
86,"Wave 2 (2021-2023)",284.909676544236,19319.4392593119,244
87,"Wave 2 (2021-2023)",271.520927421005,18125.2838388453,251
88,"Wave 2 (2021-2023)",243.061306662087,16890.9351109998,250
89,"Wave 2 (2021-2023)",261.782902760671,18656.6311946027,245
90,"Wave 2 (2021-2023)",281.260530420003,20460.3818545641,239
91,"Wave 2 (2021-2023)",264.431158516961,18562.6692569748,248
92,"Wave 2 (2021-2023)",277.982087430563,20588.696986791,241
93,"Wave 2 (2021-2023)",260.607598814657,16497.2544671558,240
94,"Wave 2 (2021-2023)",264.761234575205,16840.8688262799,243
95,"Wave 2 (2021-2023)",272.944621050952,18442.2652541042,241
96,"Wave 2 (2021-2023)",263.821944837158,17835.1953981789,245
97,"Wave 2 (2021-2023)",248.750926099518,16037.6354869024,242
98,"Wave 2 (2021-2023)",260.363316956043,17088.4133406199,241
99,"Wave 2 (2021-2023)",261.561940956136,18094.0153320577,248
100,"Wave 2 (2021-2023)",256.355681491914,16553.1372099473,252
1,"Wave 3 (2024-2025)",310.802250042372,21555.4017701171,217
2,"Wave 3 (2024-2025)",307.51017100423,19834.4452107648,220
3,"Wave 3 (2024-2025)",318.153950752678,21497.4438508943,223
4,"Wave 3 (2024-2025)",332.829471570978,22484.7056054162,225
5,"Wave 3 (2024-2025)",313.953161756808,20460.8337187311,220
6,"Wave 3 (2024-2025)",305.572725969176,20358.8740089284,220
7,"Wave 3 (2024-2025)",315.494737655282,20815.3716474257,221
8,"Wave 3 (2024-2025)",314.307965007678,21717.2295916964,218
9,"Wave 3 (2024-2025)",310.157312978851,19635.4619253499,222
10,"Wave 3 (2024-2025)",334.275916758185,22778.6805495029,224
11,"Wave 3 (2024-2025)",298.787076087294,19784.5204212288,219
12,"Wave 3 (2024-2025)",319.796463983649,21967.1090932353,220
13,"Wave 3 (2024-2025)",299.769510967977,20781.2420003756,219
14,"Wave 3 (2024-2025)",295.043369308749,19499.1885873871,218
15,"Wave 3 (2024-2025)",303.510079478309,20498.0038265415,221
16,"Wave 3 (2024-2025)",320.506932623106,22821.6096380884,220
17,"Wave 3 (2024-2025)",354.01042161852,24851.8303565926,225
18,"Wave 3 (2024-2025)",327.044500421884,23298.8713880923,223
19,"Wave 3 (2024-2025)",335.79613766725,23291.2191223786,220
20,"Wave 3 (2024-2025)",334.858158698768,22178.8258748857,224
21,"Wave 3 (2024-2025)",337.3560054002,21816.7443090235,222
22,"Wave 3 (2024-2025)",322.507606495662,21143.8958500351,221
23,"Wave 3 (2024-2025)",312.888107007906,19726.6466731484,222
24,"Wave 3 (2024-2025)",309.847228500571,20179.9256071971,218
25,"Wave 3 (2024-2025)",297.043813767762,19843.013837079,220
26,"Wave 3 (2024-2025)",314.314348523233,22123.0971634703,220
27,"Wave 3 (2024-2025)",303.865347165763,19886.7966496059,220
28,"Wave 3 (2024-2025)",309.828099560938,20958.618742216,221
29,"Wave 3 (2024-2025)",313.281018472082,20336.6393688406,221
30,"Wave 3 (2024-2025)",332.168175026596,23035.8502590503,224
