"time","median","lower","upper"
2016,13.8965242756105,0.704013041429665,104.19440835668
2016.25,27.4374561087427,0.534102676044549,98.8260790780153
2016.5,66.3815634134916,3.9559052626544,178.689110899045
2016.75,119.824558173067,34.2901380809847,276.028288038692
2017,228.7665637706,88.7077687259292,417.24555552048
2017.25,350.134863344478,184.595096838979,509.775007984965
2017.5,391.445137152524,243.77997129272,498.812609294037
2017.75,413.064038383634,329.05899403426,519.195856983626
2018,432.251409787036,311.708845081934,539.150162543666
2018.25,309.042775497695,201.339210646615,425.077839908107
2018.5,148.75899676257,81.7223034049087,290.145853709795
2018.75,259.12209397369,101.703287080902,414.627959119124
2019,392.363852874116,260.982873232719,509.293755100683
2019.25,412.278083638825,333.900683081411,535.096937995221
2019.5,288.535610247072,225.029183576384,405.376955138862
2019.75,385.57866502582,307.537403659886,495.147168307327
2020,181.574294884964,76.1748410326111,317.987593188263
2020.25,209.412751339588,68.3673133950292,336.639998932699
2020.5,254.080160084581,111.213735739918,390.37744829539
2020.75,283.69975975861,136.556871546924,457.394447152544
2021,324.061766536514,136.696777623056,503.11361483212
2021.25,339.911369884697,145.642873619755,559.009561010254
2021.5,372.145718818854,149.732223493162,616.397296039411
2021.75,426.295880963324,224.196627139416,673.805138557775
2022,983.248868515295,849.938389962726,1059.53975033573
2022.25,540.699394963662,403.686404892416,779.532432332631
2022.5,657.731059007874,482.75617332854,836.263177928187
2022.75,890.354681551129,720.36672770202,1082.17073593549
2023,1094.40059025114,965.594561713831,1173.80028995645
2023.25,470.587986176806,302.835759026731,579.194437961542
2023.5,486.621636164918,323.926054473447,577.878565723669
2023.75,506.819842630337,345.037612034329,578.782744909203
2024,523.311272805568,419.702138561844,651.202431292814
2024.25,552.143665703621,451.679154730266,710.438095324936
2024.5,615.86276429027,522.918212949735,858.342534091253
2024.75,742.863463706843,604.421198153052,887.994049345196
2025,872.462312789796,778.535887720853,954.646069397344
2025.25,728.047790376564,578.098699011601,827.285157744422
2025.5,583.104895414006,473.107283997738,654.046171001512
2025.75,151.963875626649,10.3898867397512,243.02063051339
2026,NA,NA,NA
