time	distance
2015.76709673195	0
2015.86732576463	0
2015.96755479731	0
2016.06778382999	0
2016.16801286267	0
2016.26824189535	8.31319001730395
2016.36847092803	39.122496492631
2016.46869996071	72.9351003215339
2016.56892899339	117.596495689432
2016.66915802607	164.975680608869
2016.76938705876	220.461144483924
2016.86961609144	279.658207629606
2016.96984512412	345.822645016626
2017.0700741568	427.347785612444
2017.17030318948	469.54928078755
2017.27053222216	506.150482567407
2017.37076125484	530.866715887783
2017.47099028752	549.749646756362
2017.5712193202	575.184318361868
2017.67144835288	602.697532230296
2017.77167738556	631.877172338607
2017.87190641824	665.84073233593
2017.97213545092	714.673291057724
2018.0723644836	770.449112098745
2018.17259351628	828.467918341756
2018.27282254896	901.022657817356
2018.37305158164	970.853314485014
2018.47328061432	1038.58209794111
2018.573509647	1106.66531082855
2018.67373867968	1106.66531082855
2018.77396771236	1106.66531082855
2018.87419674505	1108.6062868897
2018.97442577773	1108.6062868897
2019.07465481041	1108.6062868897
2019.17488384309	1108.6062868897
2019.27511287577	1108.6062868897
2019.37534190845	1108.6062868897
2019.47557094113	1108.6062868897
2019.57579997381	1108.6062868897
2019.67602900649	1108.6062868897
2019.77625803917	1108.6062868897
2019.87648707185	1108.6062868897
2019.97671610453	1108.6062868897
2020.07694513721	1108.6062868897
2020.17717416989	1108.6062868897
2020.27740320257	1108.6062868897
2020.37763223525	1108.6062868897
2020.47786126793	1108.6062868897
2020.57809030061	1108.6062868897
2020.67831933329	1108.6062868897
2020.77854836597	1108.6062868897
2020.87877739866	1108.6062868897
2020.97900643134	1108.6062868897
2021.07923546402	1108.6062868897
2021.1794644967	1108.6062868897
2021.27969352938	1108.6062868897
2021.37992256206	1108.6062868897
2021.48015159474	1108.6062868897
2021.58038062742	1117.92065800183
2021.6806096601	1119.5435498858
2021.78083869278	1142.38587136453
2021.88106772546	1189.49045330948
2021.98129675814	1493.62168335859
2022.08152579082	1493.62168335859
2022.1817548235	1493.62168335859
2022.28198385618	1493.62168335859
2022.38221288886	1493.62168335859
2022.48244192154	1498.94155068234
2022.58267095422	1548.82312557405
2022.6828999869	1651.65390115378
2022.78312901958	1683.80603700979
2022.88335805227	1779.25049169217
2022.98358708495	1805.99750431333
2023.08381611763	1805.99750431333
2023.18404515031	1805.99750431333
2023.28427418299	1805.99750431333
2023.38450321567	1805.99750431333
2023.48473224835	1805.99750431333
2023.58496128103	1805.99750431333
2023.68519031371	1805.99750431333
2023.78541934639	1805.99750431333
2023.88564837907	1805.99750431333
2023.98587741175	1805.99750431333
2024.08610644443	1805.99750431333
2024.18633547711	1808.28880267954
2024.28656450979	1811.21722488121
2024.38679354247	1830.28728254189
2024.48702257515	1842.5888381808
2024.58725160783	1897.66893752657
2024.68748064051	1936.45098005921
2024.7877096732	1971.32606178601
2024.88793870588	1975.38777767017
2024.98816773856	2047.32067274932
2025.08839677124	2056.43915880488
2025.18862580392	2060.76761656621
2025.2888548366	2097.36990678119
2025.38908386928	2115.5511168905
2025.48931290196	2124.57672267697
2025.58954193464	2124.57672267697
2025.68977096732	2124.57672267697
2025.79	2124.57672267697
