time	distance
2015.76709673195	0
2015.86732576463	0
2015.96755479731	0
2016.06778382999	0
2016.16801286267	0
2016.26824189535	8.31319001730395
2016.36847092803	30.1734305248629
2016.46869996071	59.604698162541
2016.56892899339	87.2558062938068
2016.66915802607	103.070187235645
2016.76938705876	120.718613442119
2016.86961609144	161.258350441212
2016.96984512412	209.29492336198
2017.0700741568	281.949770138707
2017.17030318948	315.530401098967
2017.27053222216	360.982503618539
2017.37076125484	379.639104056207
2017.47099028752	391.430338011461
2017.5712193202	396.504177100965
2017.67144835288	402.073078194174
2017.77167738556	414.197056959291
2017.87190641824	426.207849613492
2017.97213545092	440.44060239058
2018.0723644836	445.330941984027
2018.17259351628	446.446963425467
2018.27282254896	446.446963425467
2018.37305158164	446.446963425467
2018.47328061432	447.883384310069
2018.573509647	447.883384310069
2018.67373867968	447.883384310069
2018.77396771236	447.883384310069
2018.87419674505	447.883384310069
2018.97442577773	447.883384310069
2019.07465481041	447.883384310069
2019.17488384309	447.883384310069
2019.27511287577	447.883384310069
2019.37534190845	447.883384310069
2019.47557094113	447.883384310069
2019.57579997381	447.883384310069
2019.67602900649	447.883384310069
2019.77625803917	447.883384310069
2019.87648707185	447.883384310069
2019.97671610453	447.883384310069
2020.07694513721	447.883384310069
2020.17717416989	447.883384310069
2020.27740320257	447.883384310069
2020.37763223525	447.883384310069
2020.47786126793	447.883384310069
2020.57809030061	447.883384310069
2020.67831933329	447.883384310069
2020.77854836597	450.39859870574
2020.87877739866	452.547734575711
2020.97900643134	454.653630742309
2021.07923546402	457.827327477973
2021.1794644967	460.336617912572
2021.27969352938	466.26615417182
2021.37992256206	471.865622485541
2021.48015159474	478.848555758128
2021.58038062742	483.909555491704
2021.6806096601	491.243698785104
2021.78083869278	505.002298993933
2021.88106772546	574.20616655959
2021.98129675814	911.216297311033
2022.08152579082	911.216297311033
2022.1817548235	911.216297311033
2022.28198385618	911.216297311033
2022.38221288886	911.216297311033
2022.48244192154	912.906379562068
2022.58267095422	912.906379562068
2022.6828999869	917.565358765568
2022.78312901958	948.449664057292
2022.88335805227	1060.53651667044
2022.98358708495	1095.0009787532
2023.08381611763	1095.0009787532
2023.18404515031	1095.0009787532
2023.28427418299	1095.0009787532
2023.38450321567	1095.0009787532
2023.48473224835	1095.0009787532
2023.58496128103	1095.0009787532
2023.68519031371	1095.0009787532
2023.78541934639	1095.0009787532
2023.88564837907	1095.0009787532
2023.98587741175	1095.0009787532
2024.08610644443	1095.0009787532
2024.18633547711	1095.0009787532
2024.28656450979	1095.0009787532
2024.38679354247	1095.0009787532
2024.48702257515	1095.0009787532
2024.58725160783	1095.0009787532
2024.68748064051	1095.0009787532
2024.7877096732	1095.0009787532
2024.88793870588	1095.0009787532
2024.98816773856	1095.0009787532
2025.08839677124	1095.0009787532
2025.18862580392	1095.0009787532
2025.2888548366	1095.0009787532
2025.38908386928	1095.0009787532
2025.48931290196	1095.0009787532
2025.58954193464	1095.0009787532
2025.68977096732	1095.0009787532
2025.79	1095.0009787532
