time	95%HPD_lower_value	95%HPD_higher_value
2015.81721124829	24.478003077836	750.590261700545
2015.91744028097	24.4779936194852	1096.2726785293
2016.01766931365	24.4779840869607	1356.3683002344
2016.11789834633	28.0331639803002	1026.82923786763
2016.21812737901	92.8731852159714	867.228826883916
2016.31835641169	93.8990118373424	942.612310953382
2016.41858544437	116.432027183849	972.169950636848
2016.51881447705	161.706598952205	972.172378867061
2016.61904350973	191.24353323455	908.560799407958
2016.71927254241	174.96672700489	789.977298180205
2016.8195015751	171.925351961268	763.961435189815
2016.91973060778	176.529179535626	667.983156706298
2017.01995964046	201.906897487455	598.245706964863
2017.12018867314	200.557735753969	490.137280735017
2017.22041770582	226.121277092337	583.172305195423
2017.3206467385	240.495017822185	767.110149765756
2017.42087577118	268.732290176751	1010.18028110805
2017.52110480386	302.77982995498	975.0883891673
2017.62133383654	270.897835614541	1117.94081286465
2017.72156286922	267.979858115252	1035.56757426431
2017.8217919019	270.90229691464	1022.9898144958
2017.92202093458	289.136914888665	1036.10182588472
2018.02224996726	295.249275904955	1015.70069886983
2018.12247899994	308.855859505958	1029.1875599769
2018.22270803262	312.97829280912	1057.24017699239
2018.3229370653	293.325816173089	963.434361202361
2018.42316609798	297.440616486062	788.729462346937
2018.52339513066	240.270504797533	716.41218831971
2018.62362416334	182.707382306772	565.972703392647
2018.72385319602	184.422970051374	501.529930596698
2018.82408222871	165.935537027012	485.478720157117
2018.92431126139	158.753198624744	510.732602862568
2019.02454029407	123.507943064119	436.563539820816
2019.12476932675	94.2915338203665	365.422278913877
2019.22499835943	97.7223711650167	395.801510613919
2019.32522739211	113.885521603305	463.743990078699
2019.42545642479	102.211797240966	498.697642458766
2019.52568545747	104.579066792626	544.966002928345
2019.62591449015	82.3804355775402	534.461881914555
2019.72614352283	84.0193761623649	615.220729563993
2019.82637255551	96.275950198826	634.349492332549
2019.92660158819	80.0968265609151	692.050547188099
2020.02683062087	89.6040356698689	809.639640176106
2020.12705965355	77.0278680440343	703.847400032292
2020.22728868623	77.0267601379541	497.527503828869
2020.32751771891	36.5148786855903	353.202730027394
2020.42774675159	47.3166285701188	196.219862716763
2020.52797578427	55.1212867291232	165.738843111093
2020.62820481695	46.1232443657653	217.49661012246
2020.72843384963	46.12331360799	271.511953786578
2020.82866288232	64.7805555834878	340.709669722075
2020.928891915	70.52264870649	598.51724595635
2021.02912094768	139.023974327662	637.056788837642
2021.12934998036	195.824040310743	722.798433226461
2021.22957901304	220.394825735356	665.718823170638
2021.32980804572	294.853663262246	767.790084851503
2021.4300370784	315.962687444306	755.49831096269
2021.53026611108	324.603569233036	669.432784555182
2021.63049514376	319.949291225445	626.049152597719
2021.73072417644	319.251294182831	622.432128423856
2021.83095320912	338.180607924166	653.333567262437
2021.9311822418	339.953273758552	621.244398328453
2022.03141127448	361.194607212727	646.009822918449
2022.13164030716	417.081317650434	717.209011716328
2022.23186933984	491.926440228101	793.117059602248
2022.33209837252	468.668793480018	761.606796131323
2022.4323274052	477.031551132911	750.163688616923
2022.53255643788	479.545629092432	742.66767005204
2022.63278547056	468.782328417392	718.16208368695
2022.73301450324	460.265167772198	723.622134699883
2022.83324353593	461.58319690723	730.077534873243
2022.93347256861	443.749663191641	729.223038709752
2023.03370160129	454.326155173168	747.8282807373
2023.13393063397	443.051468936413	776.510773272696
2023.23415966665	333.432911705976	657.07977089561
2023.33438869933	284.458634279393	693.421058986436
2023.43461773201	254.444167670297	668.367195994607
2023.53484676469	241.844035069869	785.595321031174
2023.63507579737	264.135544486461	717.147035106955
2023.73530483005	267.227889120369	728.37020903115
2023.83553386273	303.582793115913	761.466673465019
2023.93576289541	296.060616238901	715.639601014224
2024.03599192809	362.84512353306	737.899729522046
2024.13622096077	416.526596787737	788.478787327102
2024.23644999345	422.071681015199	740.981871780154
2024.33667902613	423.190265053697	740.123272438148
2024.43690805881	452.387197547949	777.559220004976
2024.53713709149	451.536169764985	808.454385339163
2024.63736612417	431.701518462896	821.931863984259
2024.73759515685	455.461995662373	829.912247884749
2024.83782418954	461.538555477799	823.703621310202
2024.93805322222	427.766577452139	836.281435037047
2025.0382822549	442.860795899425	862.241100676977
2025.13851128758	436.734613853979	870.991545079725
2025.23874032026	379.387459631145	787.649672136207
2025.33896935294	359.381671623058	875.354112879333
2025.43919838562	302.652155574179	833.815018999616
2025.5394274183	261.754533485627	900.70506872965
2025.63965645098	287.845954958887	965.958653237731
2025.73988548366	246.002174771794	392.510034545026
