time	distance_tree10090000	distance_tree10180000	distance_tree10270000	distance_tree10360000	distance_tree10450000	distance_tree10540000	distance_tree10630000	distance_tree10720000	distance_tree10810000	distance_tree10900000	distance_tree10990000	distance_tree11080000	distance_tree11170000	distance_tree11260000	distance_tree11350000	distance_tree11440000	distance_tree11530000	distance_tree11620000	distance_tree11710000	distance_tree11800000	distance_tree11890000	distance_tree11980000	distance_tree12070000	distance_tree12160000	distance_tree12250000	distance_tree12340000	distance_tree12430000	distance_tree12520000	distance_tree12610000	distance_tree12700000	distance_tree12790000	distance_tree12880000	distance_tree12970000	distance_tree13060000	distance_tree13150000	distance_tree13240000	distance_tree13330000	distance_tree13420000	distance_tree13510000	distance_tree13600000	distance_tree13690000	distance_tree13780000	distance_tree13870000	distance_tree13960000	distance_tree14050000	distance_tree14140000	distance_tree14230000	distance_tree14320000	distance_tree14410000	distance_tree14500000	distance_tree14590000	distance_tree14680000	distance_tree14770000	distance_tree14860000	distance_tree14950000	distance_tree15040000	distance_tree15130000	distance_tree15220000	distance_tree15310000	distance_tree15400000	distance_tree15490000	distance_tree15580000	distance_tree15670000	distance_tree15760000	distance_tree15850000	distance_tree15940000	distance_tree16030000	distance_tree16120000	distance_tree16210000	distance_tree16300000	distance_tree16390000	distance_tree16480000	distance_tree16570000	distance_tree16660000	distance_tree16750000	distance_tree16840000	distance_tree16930000	distance_tree17020000	distance_tree17110000	distance_tree17200000	distance_tree17290000	distance_tree17380000	distance_tree17470000	distance_tree17560000	distance_tree17650000	distance_tree17740000	distance_tree17830000	distance_tree17920000	distance_tree18010000	distance_tree18100000	distance_tree18190000	distance_tree18280000	distance_tree18370000	distance_tree18460000	distance_tree18550000	distance_tree18640000	distance_tree18730000	distance_tree18820000	distance_tree18910000	distance_tree19000000
2015.76709673195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015.86732576463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28404942970076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.2660975916775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24261361386719	0	0	0	0	0	0	0
2015.96755479731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1369144781427	0	0	0	12.9324158164512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73106833986369	0	0	0	0	0	0	0	10.8306390506265	0	0	0	0	0	3.53203902231692	0	0	0	0	0	0	0	0	0	0	0	0	0	48.5320919473576	0	0	0	0	0	0	0	76.6727880742142	0	0	0	0	0	0	0	0	8.71663386908777	16.3099132185558	0	0	0	0	0	0	0
2016.06778382999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2129549550663	0	0	0	0	40.0458070560595	0	0	0	29.9702211603225	0	0	0	0	0	0	0	0	0	48.9266274555418	0	0	0	0	0	0	0	27.5411281774407	0	0	0	0	0	0	0	20.3777725380808	0	0	0	0	0	10.0478175810984	30.1500082654657	0	0	0	5.25262104939342	0	0	0	3.27971903049559	0	18.3037579851764	0	0	72.7979790918214	0.548762372694031	0	0	0	0	0	0	162.317840719506	0	0	30.4587706801765	0	0	0	0	0	19.6239529530927	29.3783994853706	0	3.50171790404553	0	0	12.1397455703831	14.7945058367249	0
2016.16801286267	13.4158233143508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5303774305456	0	0	33.3803378026323	12.4276706433469	66.9544862818547	0	0	3.96347796724035	47.0096604665573	0.0267925176403697	0	18.4448801168781	0	4.37467242468483	42.4813444788357	0	6.8497444390001	0	76.2008760655371	0	0	0	0	6.34861814971499	0	0	51.3479074141202	3.95456703577338	0	0	0	0	0	0	29.9254456625503	0	0	0	0	0	20.2943456625192	78.3178597049559	0	0	0	11.9780363588197	9.17141423993233	0	0	17.3885828248433	0	53.6434783293917	0	0	97.0637550496113	10.6407956744485	0	0	0	0	0	0	247.92454712293	0	0	32.8468151917602	0	0	2.3313149624428	0	0	30.5312283181304	42.4480601314861	0	11.8684105960065	4.66608942411761	0	41.317910973789	45.4930620203373	0
2016.26824189535	47.8654833523737	16.9099907541043	0	5.45258352744132	0	0	0	10.4363853688225	9.21676368113741	0	0	36.1894425248495	8.3390142711379	0	28.1568345942946	0	0	2.84931420088581	0	39.8473844462511	23.798134931711	0	57.7917345821861	55.1954771287023	93.8629414323369	0	0	22.9718995680149	64.0507032856428	21.3550658973235	14.1151370425202	44.7353261326771	0	27.2464218585649	88.9666345489303	0	17.724386827393	0	100.176298265578	0	0	0	25.6377482499625	24.4538280341298	8.28736576346999	0	75.1513426280373	14.62710612608	0	29.0417698721225	0	5.11774338375547	0	0.458093182963647	39.4736541986184	0	57.4943838822061	0	0	0	62.2300912174527	78.3178597049559	8.38006379266513	0	24.3282916447004	18.7036063491311	35.3034744596397	0	0	31.4969296044998	0	88.9790541735317	0	9.98895333906666	121.329415845386	20.733203177041	0	0	0	0	17.9351905192176	6.8861756736961	268.089477342026	0	0	39.3838631036542	0	3.59267793230981	56.4670119866025	0	0	41.4384598600086	56.5260629242786	58.2047942171189	20.2351520609538	12.0602562964576	6.2781433752328	79.0989367660899	76.194980743947	0
2016.36847092803	96.1460032163122	35.7135410596684	0	22.1797285892344	16.5189761541525	0	9.27585612675416	44.8117834798178	28.501401125412	0	0	38.6558632821333	41.2509922420818	6.02525992038614	58.0871285131025	0	5.43373946383033	7.98684896071258	0	54.1639744953985	47.7512525935114	0	117.324804831681	69.1512546457837	120.771161784001	0	0	47.8730275659146	81.0933191796769	52.2456756834659	52.6975132808962	62.1960484437633	0	34.8424277791631	110.478191234718	1.98616533142665	30.500270504384	2.85700442691703	101.540296700948	39.0815090272692	8.04629855018186	45.5572494035317	51.508398242721	42.5601400127204	27.9219976994904	0	98.9513703444734	25.3003479668355	96.2584110729374	88.512176325328	39.1634839579928	14.8271837059064	5.3284399145808	7.28084207843707	49.0223939220535	82.3194847300345	179.539823893738	0	0	5.44296963472844	107.923522295992	78.3178597049559	55.4975857796724	0	45.1195166885168	25.4293304784109	35.3034744596397	0	0	45.6047570054842	2.74999020218767	123.540583363935	0	72.9563422474161	129.633502727479	28.6734460777363	0	0	7.29767607969947	26.8502878534013	53.6389755929838	18.914636537309	274.298376992079	71.8553215706876	0	48.3237874664378	7.08967965294203	20.6732536796274	110.616911992225	0	0	52.3456474762389	98.0626048030009	58.2047942171189	28.6019422335417	17.5195710161891	29.8465905453419	118.374141894172	77.6005133304328	0
2016.46869996071	107.667593201967	92.7074468510188	13.1877321899153	54.2590723738349	71.0207177547577	37.1131208305396	36.2489609658563	76.757889140168	33.5902261182916	0	0	41.2748255553274	74.1676696686421	20.2973703281456	139.128821269146	94.6885470445818	11.6996163868227	18.0083459054187	14.616310893822	68.4801460697795	71.7025309744257	0	118.117028644398	72.1066882700684	147.679136612325	0	48.5713489329824	104.558113688412	93.3145183571289	83.1659882963833	60.6333084541298	77.8586379098144	0	43.3065981164822	118.359324417718	4.50116575265745	45.6116955263097	19.2891272088203	102.938148691999	79.5632454552345	38.5799118777859	127.958237353244	62.5829967551722	60.667545679651	62.2316121395891	106.696927195853	122.747927034411	107.9126619305	139.095799792978	186.199461246057	147.055290435293	29.3657308018676	55.7914115644926	14.1036654243259	58.5716606102438	191.73008582365	301.539696827416	19.110336888666	19.2553867213535	106.347589839922	154.066764929809	78.3178597049559	55.4975857796724	0	54.8982428627033	32.1552082015	35.3034744596397	50.3108891311074	33.0445689205996	55.6835591620189	13.7393230016623	123.540583363935	0	87.438483039378	134.591064650849	30.0043758283853	10.1885687859709	0.328456013239466	91.0638102319661	64.2049926953518	118.968815818697	30.9507708177267	280.61431951148	71.8553215706876	17.2975359784578	58.5760878709523	35.6154903753696	37.7544471594347	164.780086356561	37.859245690235	0	63.2527910632914	146.84217442659	75.2471955524646	34.9359075930096	101.015518267375	40.9051577336176	158.026572089028	79.8110422417221	0
2016.56892899339	112.604657303901	96.0235036761673	43.5844871311227	88.3547139103118	119.291156406854	54.000707173888	42.7429111352136	125.520771356357	33.5902261182916	46.2391053105688	0	59.4132100329241	122.378506721216	34.0023720074804	146.483277871347	108.104828365482	17.9655076228454	34.026690399542	27.4408712774767	77.9937629140429	95.6519065666614	101.245244209265	119.088316264718	75.1503817613299	156.038916067641	11.2988337979782	51.5626529700542	165.241655803284	111.118354299875	114.091794259497	68.8886219572157	94.5959150840814	179.66789377987	69.2172438796237	126.478263308321	7.01613900534221	61.4542625430586	27.6959537298688	131.722060794666	97.2527262096922	82.6970210309667	127.958237353244	86.4652507336015	78.7760366379836	89.9497317094289	106.696927195853	146.540949112544	110.141338778226	140.042513785666	186.199461246057	252.719622716969	36.68787531884	66.6650520440645	20.9265624505108	68.1214500417667	194.662512087954	357.107092222497	40.68482901599	33.1838462893132	106.72188307409	268.844475120806	101.114748865601	75.8466339592057	72.1483673565821	70.2181834882903	56.9735788458976	47.8277205623036	76.143533754936	110.538649907717	61.3956420263327	114.077575414012	123.540583363935	25.481563376536	89.8738851325991	139.65607960778	32.0068783116108	45.9092538389889	19.3535786935928	99.4630583975886	101.553469899981	184.531884984143	42.98812989796	286.979813628914	102.407806220134	21.8550158197377	69.5625040482936	38.4764832519657	54.8351786404814	176.200843913722	59.1603159645159	146.964621736669	74.159890518267	192.535916574992	88.046361854012	75.1603859548287	198.638185873507	41.6964753148364	197.823856039163	96.8528964021659	29.1838480041689
2016.66915802607	152.156390925909	97.5197215814702	49.998501080667	122.792612939774	156.230065842879	71.0461694218293	73.0748052928907	166.400974776428	33.5902261182916	79.411190831251	73.6020481250053	76.2565293236531	172.888849525919	43.5002032277781	152.422385314488	171.078169715358	25.4047810717212	92.9831996068367	29.5047662008534	79.491069332236	103.976697393281	101.245244209265	120.234332200509	80.7332659514163	164.924663950671	33.8618918694141	53.4402447626927	226.717538765813	130.167348929676	145.019527179722	88.1466076254382	111.925849311788	184.324232177514	97.5317259929293	134.791929781763	9.5310849876078	80.2867958148678	52.0604768715844	131.722060794666	131.429283508316	85.5644079261105	133.86989126149	111.067385045241	100.616199373904	102.16367707801	106.696927195853	168.359564076069	112.546504367385	141.043320022295	191.355364293241	252.719622716969	65.4673193769274	71.4323001018741	33.5714186367042	77.6717579967676	197.617396394795	357.107092222497	152.907138009855	47.113909324922	119.3621516267	283.831016369793	126.504946306415	162.992760278331	136.718734104395	85.5444947017774	122.17551268539	84.1313883799024	82.0275538692527	188.399160657985	61.3956420263327	129.592869704275	131.184559243158	47.4632143429544	92.8810980387302	144.817240879214	45.4711140225929	143.630060388125	36.1521389921596	108.743424249271	101.553469899981	215.50253148031	55.0259069973764	293.33469124606	115.558440643898	47.28820083801	80.984463935701	49.6309737632983	71.915380173548	211.776077595439	72.6907728679526	146.964621736669	85.0669457374656	198.393754416348	99.9592552989044	78.5509248774642	303.114820715008	50.2055566806243	237.688347584758	122.689963780866	61.7458470324205
