time	95%HPD_lower_value	95%HPD_higher_value
2015.76709673195	NA	NA
2015.86732576463	0	0
2015.96755479731	0	0
2016.06778382999	0	12.9324158164512
2016.16801286267	0	37.2996920545079
2016.26824189535	0	66.9544862818547
2016.36847092803	0	93.8629414323369
2016.46869996071	0	149.79700511115
2016.56892899339	0	245.342821521893
2016.66915802607	0	295.446551164119
2016.76938705876	34.4133465141559	382.844980243969
2016.86961609144	47.1517890550242	409.034359897577
2016.96984512412	87.4795989183562	474.649426863886
2017.0700741568	180.479519590768	576.567655891809
2017.17030318948	209.108386237656	648.722954669028
2017.27053222216	280.237882111402	708.333184360943
2017.37076125484	302.276409633516	749.197759432776
2017.47099028752	314.463056667488	762.278910012438
2017.5712193202	359.515852713325	818.730207789409
2017.67144835288	391.274316548195	863.305724146872
2017.77167738556	393.514897632077	889.993226567135
2017.87190641824	410.517237299309	934.56693951436
2017.97213545092	444.584836690179	934.56693951436
2018.0723644836	479.733911876968	960.721998809803
2018.17259351628	569.984541438936	1038.5609334932
2018.27282254896	621.716485979266	1118.64696572054
2018.37305158164	646.07855276419	1186.71881631796
2018.47328061432	723.359109002257	1278.92089765329
2018.573509647	777.003138252278	1375.13311030945
2018.67373867968	851.526910149125	1466.33944616876
2018.77396771236	851.526910149125	1466.33944616876
2018.87419674505	851.526910149125	1466.33944616876
2018.97442577773	851.526910149125	1466.33944616876
2019.07465481041	851.526910149125	1466.33944616876
2019.17488384309	851.526910149125	1466.33944616876
2019.27511287577	851.526910149125	1466.33944616876
2019.37534190845	851.526910149125	1466.33944616876
2019.47557094113	851.526910149125	1466.33944616876
2019.57579997381	851.526910149125	1466.33944616876
2019.67602900649	851.526910149125	1466.33944616876
2019.77625803917	851.526910149125	1466.33944616876
2019.87648707185	851.526910149125	1466.33944616876
2019.97671610453	851.526910149125	1466.33944616876
2020.07694513721	851.526910149125	1466.33944616876
2020.17717416989	851.526910149125	1466.33944616876
2020.27740320257	851.526910149125	1466.33944616876
2020.37763223525	851.526910149125	1466.33944616876
2020.47786126793	851.526910149125	1466.33944616876
2020.57809030061	851.526910149125	1466.33944616876
2020.67831933329	851.526910149125	1466.33944616876
2020.77854836597	851.526910149125	1466.33944616876
2020.87877739866	851.526910149125	1466.33944616876
2020.97900643134	851.526910149125	1466.33944616876
2021.07923546402	851.526910149125	1466.33944616876
2021.1794644967	851.526910149125	1466.33944616876
2021.27969352938	811.279171427409	1421.68412872855
2021.37992256206	834.491452504568	1421.68412872855
2021.48015159474	834.491452504568	1421.68412872855
2021.58038062742	882.324168801024	1466.33944616876
2021.6806096601	896.472126222367	1466.33944616876
2021.78083869278	896.472126222367	1466.33944616876
2021.88106772546	876.18440513646	1466.33944616876
2021.98129675814	905.96418324398	1645.90138576489
2022.08152579082	1176.95329668	2014.44055301904
2022.1817548235	1176.95329668	2014.44055301904
2022.28198385618	1176.95329668	2014.44055301904
2022.38221288886	1176.95329668	2014.44055301904
2022.48244192154	1176.95329668	2014.44055301904
2022.58267095422	1176.95329668	2014.44055301904
2022.6828999869	1188.31683704132	2014.44055301904
2022.78312901958	1188.31683704132	2023.09200694243
2022.88335805227	1205.47455861262	2078.35544378793
2022.98358708495	1357.93243875275	2205.81381751847
2023.08381611763	1379.4266482034	2261.66776236666
2023.18404515031	1379.4266482034	2261.66776236666
2023.28427418299	1379.4266482034	2261.66776236666
2023.38450321567	1379.4266482034	2261.66776236666
2023.48473224835	1379.4266482034	2261.66776236666
2023.58496128103	1379.4266482034	2261.66776236666
2023.68519031371	1379.4266482034	2261.66776236666
2023.78541934639	1379.4266482034	2261.66776236666
2023.88564837907	1379.4266482034	2261.66776236666
2023.98587741175	1379.4266482034	2261.66776236666
2024.08610644443	1379.4266482034	2261.66776236666
2024.18633547711	1379.4266482034	2261.66776236666
2024.28656450979	1379.4266482034	2261.66776236666
2024.38679354247	1379.4266482034	2261.66776236666
2024.48702257515	1308.88746275319	2261.66776236666
2024.58725160783	1338.4355653174	2265.17530800363
2024.68748064051	1524.72250535637	2369.46575937365
2024.7877096732	1589.11232592951	2404.64073821036
2024.88793870588	1650.79736162469	2490.28029842691
2024.98816773856	1683.47480392895	2490.28029842691
2025.08839677124	1683.47480392895	2490.28029842691
2025.18862580392	1683.47480392895	2490.28029842691
2025.2888548366	1683.47480392895	2493.28169250484
2025.38908386928	1683.47480392895	2554.50788538339
2025.48931290196	1683.47480392895	2579.82614980704
2025.58954193464	1683.47480392895	2579.82614980704
2025.68977096732	1683.47480392895	2587.42629424508
2025.79	1683.47480392895	2587.42629424508
