mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches
480.984546235698	252.669497280393	1.6075817775029	20869.5075179117	17217.110791246	3.10613496233517
539.54999623986	259.234097534575	1.61074169354337	23871.1837864363	17330.0691462346	3.16649768171225
579.141420307155	272.921420724114	1.77582691996231	23514.6115096732	17951.5350829162	3.15871191750145
586.43761709722	275.705575390612	1.65861512217274	24413.2271989142	18204.9855453417	2.81669264424807
627.050400174251	263.690743477606	2.14391281277012	24782.4411496069	17735.6877625811	3.48056678930944
526.786867027993	257.178494250811	1.65925006165312	23361.4594332931	17475.6757569574	3.18711903237416
586.630402159551	259.152455250521	2.05968858247679	24447.8191812749	17741.9956581349	3.46705925524585
551.405625497934	259.823157032229	1.90586300478498	27133.2856616512	17650.6097306016	3.7066657013736
562.202640667125	257.32958784871	1.77190281636693	22915.438392468	16874.1274704243	3.15614080319911
681.457117559799	274.765653825321	2.69369147340656	24724.3058420847	18969.0010598477	2.88150104761163
551.352219633579	254.756057083275	1.78044432398116	21416.093224799	16930.9383844578	3.25175489303066
659.157003394168	261.950172648061	2.39060056459391	24652.7056217561	18263.3952712184	2.93582777059597
575.769441275681	247.499682479352	1.98964795623018	21337.4063686006	16798.6460393278	2.68304393829966
555.934575588118	252.490024016489	1.98293191934266	23024.4063268797	16968.6301945043	3.34000088883007
613.705629793087	259.322303470726	2.63088719747974	23480.4169412492	17240.4495764657	3.06829757436603
811.921435780806	262.71634966016	3.54115903884853	27152.2700049086	18022.2111436108	3.0582937776203
603.943060276852	275.661097099575	2.06806075560394	26252.9501142757	18101.3623539057	3.92398587294667
585.343677563401	260.024853821697	1.77152369871101	23720.956491324	18160.4995538803	3.08881968963727
636.892638078666	274.156470668134	2.78490735396427	23322.817463284	18872.7705804943	2.73910536607216
739.478365609082	273.628632043285	3.19443741417084	24015.9072663001	18113.957872236	2.65979456328141
596.150161077763	272.76551902187	1.70304351842832	23525.7857840423	18242.0159814896	2.79940406918793
720.372053858109	265.468531596455	4.24001300762421	22371.4940228996	17928.503950728	2.68468796206117
628.054999336141	251.520222897296	2.98528855007757	21325.015817321	16208.3198770466	2.82694571733872
559.579203789928	248.902410509505	3.42444927583728	20589.2462831049	16442.5098784769	2.64835387242987
576.394429583284	256.394315840575	2.15460260702802	22815.4065578373	18225.2525983478	3.13812330565288
547.764030956647	260.317070123663	2.03848184399656	22579.9241674307	17922.942287448	3.04894749028713
540.216867137759	248.634588722928	1.72422374694743	20805.220039597	16724.9720032209	2.77047395151586
534.847153391666	250.340734709665	1.85534636537491	22478.4651215935	17297.9678228995	3.97263386731743
486.381892493568	257.515692675001	1.5753425250181	20541.3151187396	17397.8657848152	2.90243628709672
655.614043966722	272.802686657784	2.19597135398175	24480.5703375446	19130.820113266	3.31815883719268
603.636885836065	268.933535893282	1.94596870769048	22985.0956227774	18332.3221780145	2.80448811134966
531.75508120152	244.999342439307	1.77035609632465	20177.7756469926	16279.7490908916	3.08292189145872
563.350444464988	252.00195921022	2.29509159303444	22362.879915832	17063.1154642394	3.27974091044417
573.207093648798	256.336256864499	1.70481537611288	22282.6475008147	17180.7082013691	3.16603792049972
575.36882601704	260.547970774704	1.69181449545565	22454.8174295889	17838.4430150665	2.74191669636474
591.952429859236	273.537179711248	2.8873109949491	23042.4070729112	19191.401307263	2.85573886466225
516.745870574923	257.305060110375	1.86154291503857	20773.4864253321	18442.0283675156	3.1825755345906
601.159146306169	251.324200767473	2.50966817826677	22082.822456452	18011.1229104204	3.28701198699963
